English,Italian
"SHAFT EXTENSION,MOTOR,127SLOT",ALBERO
SPRAYERS BAR,RAMPA SPRUZZATORI
ELASTOMER GASKET,GUARNIZIONE IN ELASTOMERO
PROBE_WATER LEVEL_HASTELLOY,SONDA
EVAPORATOR FMA 032,EVAPORATORE FMA 032
PROTECTION FILTER,FILTRO DI PROTEZIONE
TEE-SQUARE,TUBO T-TUBE
SKIN FRONT,ETICHETTA
SPRING SUPPORT BLACK,SUPPORTO MOLLA NERO
PANEL LOWER,PANNELLO LOWER
FLOWMETER 100-700A,CONTALITRI DIGITALE 100-700A
"RECEPTACLE ASSY,SPRING CONTACT",ANELLO
"HARNESS WIRING,D35,D355,D356",CABLAGGIO
"MEAT MINCER,ST/ST,200KG/H,3PH,ENCASED","TRITACARNE INOX,200 KG/H,3F,INCARCASS"
MICROSWITCH PSX25E/33E,MICROINTERRUTTORE PSX25E/33E
INFRA-RED SENSOR,SENSORE INFRAROSSO
GLASS TEMPERED 385X135X5,VETRO TEMPERED 385X135X5
INTERMEDIATE RELAY SEAT,RELE
PHOTOELECTRIC SENSOR,FOTOCELLULA
PELL SEPARATOR,SEPARATORE BUCCE
"NOZZLE 2,00MM","UGELLO 2,00MM"
BOTTOM PBOT150,FONDO PBOT150
PLUG_HOLE_20MM,TAPPO
PLASTIC CONVEYOR,CONVOGLIATORE IN PLASTICA
"PLAN,MIX,-TABLE-FLAT PANEL+HUB-20L-3P/50","MESC,PLAN,20L-BANCO-MEC-H415/3/50"
MICROSWITCH WITH CONNECTOR,MICROINTERRUTTORE WITH CONNECTOR
"MULTIRINSE RT,300R/H,ELEC,0-LIME,R>L,ESD",LS CESTO TRASCINATO 300 C/ORA ELETTRICA D>S ZERO LIME ESD
BODY CPL T15E,CORPO CPL T15E
PUMP SWITCH,PULSANTE UNIP MOM NERO 250V
PROTECTION UPPER,PROTEZIONE UPPER
WINDING TUBE D10,TUBETTO
FLAG RODS,ASTA CON BANDIERINE
TUBE MP240VV 275MM,TUBO FRANTUMATORE MP240VV 275MM
LOWER SUPPORT,ZOCCOLO INFERIORE
FELT WASHER 28X36X3,RONDELLA IN FELTRO 28X36X3
SIPHON TUBE,SIFONE IN PVC
FILTER 1,FILTRO 1
INDUCTION TOP,TOP
GASKET R8,GUARNIZIONE R8
CLIP 13-20,FASCETTA STRINGITUBO 13-20
FAN WIRING,CABLAGGIO
DISC M4,DISCO M4
HOSE L=400MM,TUBO FLESSIBILE L=400MM
PANTOLON L BEDEN,PANTALONI TAGLIA L
CD DISHWASHING,CD LAVAGGIO STOVIGLIE
OPERATION INSTRUCTION-FT,ETICHETTA ADESIVA
"REPL,= 0780005234",DAMPFERERZEUGER GESCHW
CLAMP 60/80,FASCETTA 60/80
FAN BLADE,VENTOLA
PANEL COMPONENT,PANNELLO COMPONENT
INSULATOR KK1315,ISOLANTE KK1315
JOINT CLIP,CLIP
LOWER ROLLER JUNIOR,RULLO INFERIORE JUNIOR
CONNECTION ASS,ATTACCO ASS
GASKET 14MM,GUARNIZIONE 14 MM
GATE LEFT 10.10,RASTRELLIERA PORTATEGLIE LATO SX 10.10
"MICROWAVE-CONVECTION OVEN,30LT,1350W","FORNO MICROONDE-CONVEZIONE,30LT,1350W"
"ASSY,WINDOW KIT",ASSIEME SPORTELLO
SPRAY GUN,PISTOLA REFRIGERAZIONE CON VALIGETTA E ACCESSORI KIT
"CABLE 4X1,5MM2","CAVO 4X1,5MM2"
"KEEPER,BUTTON HOUSING-METAL",ALLOGGIAMENTO
LATERAL GRILL,GRIGLIA LATERALE
DOOR ASSEMBLY LEFT,ASSIEME PORTA SINISTRA
CHUTE,SCIVOLO
"REPL,= 0700293373",REPARATURSATZ F R DECKELDREH
INDICATOR HEAD,TESTINA INDICATORE
"EVAP,ASSY D255EVAP,ASSY",EVAPORATORE
GRINDING BOLT SPACER,DISTANZIALE DEL BULLONE DI MACINAZIONE
RELAY 9660B-138,RELE' 9660B-138
K18 KNIFE,COLTELLO K18
DEFROSTING TIMER CPU35U,TIMER DI SBRINAMENTO CPU35U
BODY,CORPO
"BURNER 4KW,PAELLERO","BRUCIATORE 4KW,PAELLERO"
TOOL ASSY BPO25,GRUPPO UTENSILI BPO25
GEGENMUTTER M8,COPRIDADO M8
BALL COCK,RUBINETTO A SFERA
LUG COLLAR,PROTEZIONE BRICIOLE
K35 STIRRUP,STAFFA K35
"REDUCTION NIPPLE 1""-3/4",NIPPLO DI RIDUZIONE
PRESSURE HOSE,TUBO FLESSIBILE
OUTLE,SCARICO
"RELAY,COMPRESSOR",RELE
COMMUTATOR KNOB,MANOPOLA COMMUTATORE
EVAPORATOR DFAE031D,EVAPORATORE DFAE031D
"ALUM,LINEAR SHELV,-POLY,TIERS-373X772MM","SC,LINEARI ALLUM,RIP,POLYETH 373X772MM"
RUBBER BUMPER,TAMPONE DI GOMMA
GASKET C95-155,"GUARNIZIONE TRAPP PRESS, C95-155"
BASKET BASE,BASE PER CESTI
COMPUTER MOTHERBOARD COMPONENTS,SCHEDA
FILTER/REDUCER/LUBRICATOR 3/8,FILTRO
ELECTROVALVE MODULE,ELETTROVALVOLA
CABLE DISPLAY,CAVO DISPLAY
SUPPORT D 16,SUPPORTO TASTO D 16
LIGHTING,LAMPADA
SCREW M10X50,VITE M10X50
"OPEN BASE,H2,1-SIDE,1500X900X550H",VANO APERTO H2 1 LATO 1500XH550
SPACER CX21,DISTANZIALE CX21
"SWITCH,PB-STOP-RED",INTERRUTTORE
CAM SWITCH,INTERRUTTORE
SPACER 20X25X30 TRK2,DISTANZIALE 20X25X30 TRK2
TRAY GB6M10,VASSOIO
WHEEL TEFLON,RUOTA IN TEFLON
COVER H710,COPERCHIO CONTROMAGNETE H710
CLOSED BASE 300X800X550,BASE CHIUSA 300MM H550
"PUMP WITH ACCESSORIES,CPL","POMPA WITH ACCESSORIES,CPL"
NUT 30X14MM,DADO 30X14MM
USE 4080101,USARE 4080101
CONNECTION NUT,DADO DI FISSAGGIO ES17X4 M12X1
TIMER BOARD STANDARD,SCHEDA TIMER STANDARD
"WATER MIXING TAP,LEVER,1S,BS,200X800X700",RUBINETTO A LEVA 1 LATO H700 C/ALZ
DOOR SPRING,MOLLA PORTA
CONNECTOR 4-POLE,CONNETTORE 4-POLE
THERMOSTAT 50/300,TERMOSTATO 50/300
PROTECTIVE CAP,CALOTTA DI PROTEZIONE
"REPL,= 077018003750",SICHERUNG 117 GRAD
HEATING LAMP,LAMPADA RISCALDANTE
FILTER HEAD 3/8,TESTA FILTRANTE 3/8
USA CABLE,CAVO USA
SCREW M3X16,VITE M3X16
"LABEL,CAUTION,DAMAGED PLUG",ETICHETTA
BRAKE FEEDER,ALIMENTATORE FRENO
DISC GROUP 250,GRUPPO DISCO 250 KIT
HANDLE GF10/28/EL18'S/HDB,MANIGLIA
ELECTRONIC PROGRAMCARD,SCHEDA ELETTRONICA CPL
DET ECOSTAR WASH&SHAVE,DETERGENTE
FILTER HATCH,SPORTELLO FILTRO
AUGER IQ400,ALBERO A COCLEA
PILOT LAMP,LAMPADA SPIA
FAN INSTALLED BOARD,SCHEDA ELETTRONICA
PROTECTION GRID,GRIGLIA DI PROTEZIONE
PONY SKINS,ETICHETTA
HEATING ELEMENT 21KW,RESISTENZA 21KW
"EL,DEEP FRYER,1X7L,1-S,BSPL,400X900X700H","FRIGGITRICE ELETTR,,7 LT,1 LATO,ALZ,H700"
BALL JOINT,GIUNTO SFERICO
VALVE-PILOT PIPE REAR,CONDUTTURA VALVOLA-PILOTA REAR
STAY BOLT,SOGGIORNO BULLONE
SCREW M6X70,VITE M6X70
KNOB WITH LOCK,MANOPOLA CON SERRATURA
DOUBLE CONE,BICONO
NUT M5,DADO M5
BAYONET COUPLING,CONNESSIONE A BAIONETTA
LID 200L,COPERCHIO 200L
"CLAMP DIA,12MM","FASCETTA DIA,12MM"
THERMOREGULATOR IC 901C-12V,TERMOREGOLATORE IC 901C-12V
SUPPORT (8MM,SUPPORTO (8MM
MACHINE BASE,BASE
READY LIGHT_GREEN_250V,SPIA PRONTO_VERDE_250V
E-BOX TOP PANEL,PANNELLO SUPERIORE
BLOWER HOUSING,SCATOLA VENTILATORE
TILTING PCB 230-240V,SCHEDA TRIFASE
THERMOGENERATOR,TERMOGENERATORE
INSULATOR EMBALLE GRIDDLE,ISOLANTE EMBALLE GRIDDLE
"UTENSIL/DISHW,1170D/H,DRAIN P,ATM,ACTIVE","LAVAUT 1170P/H,POMPA SCAR,,BOIL ATMOS"
"EL,SOLID TOP,4ZONE,ECO,1S,BS,800X850X700","TUTTAPIAS,EL,ECOTOP,4 ZONE,1L,,ALZ,H700"
BELT SPZ 1320,CINGHIA SPZ 1320
COG WHEEL,DREV
METAL CABLE FASTENER,PASSACAVO
TAG INSTALLATION,ETICHETTA
BRUSHES FOR MOTOR,SPAZZOLE PER MOTORE
FILTER PROTECTION,PROTEZIONE FILTRO
TABLE CHUTE,PIANO CHUTE
SHELF BOARD,RIPIANO
CONTACTOR TO 0T3500,CONTATTORE TO 0T3500
ELECTRO-VALVES SUPPORT,SUPPORTO BLOCCHETTO CEME SORBY 2-3 / FROSTY 2-3
BIN DOOR,SPORTELLO CONTENITORE
CERAMIC SEAL,TENUTA CERAMICA
FLOWMETER 10-100A,CONTALITRI DIGITALE 10-100A
PADDING FEET,FELTRINO
"TRANSFORMER,450VA,480/240/220/208/120-24","TRASF,,450VA,480/240/220/208/120-24/10V"
FRYTOP SHELF,PIASTRA CROMO FRY TOP LISCIA/RIGATA DA 800MM
REED SOCKET,PRESA A LAMELLA
INLET HOSE,TUBO FLESSIBILE
SPARK PLUG VG102D,CANDELA ACCENSIONE/RILEVAZIONE VG102D
WHEEL ASSEMBLY,RUOTA
CARTON_AUTOFILL_DOUBLE,GUARNIZIONE PIATTA
PCB BRUSHLESS/ELETTRON,SCHEDA AZIONAMENTO BRUSHLESS/ELETTRON
CROSSPIECE L,TRAVERSA SX
"WORK TOP,CLOSED,1-S,BACKSPL,100X900X250H","ELEMENTO NEUTRO CHIUSO,1LAT,ALZ,100XH250"
SUCTION TAP,RUBINETTO DI ASPIRAZIONE
SCREW_M6×25,VITE
THROTTLE,ACCELERATORE
CONTACT MAGNETIC,CONTATTO MAGNETICO
LID PROTECTION NINA2,PROTEZIONE COPERCHIO NINA 2 TELAIO ACCIAIO
DOOR ASSEMBLY (ELECTROLUX,ASSIEME PORTA
TRANSFORMER 80VA,TRASFORMATORE 80VA
FOOT H=100,PIEDE H=100
"REPL,= 0780052146",RUBINETTO
M14 NUT,DADO M14
GUARD ONLY PSXE25/PSX25,SOLO PROTEZIONE PSXE25/PSX25
BRAKE,FRENO PORTA SCORREVOLE
HEX NUT,DADO ESAGONALE
CENTRAL BLOCK,GRUPPO CENTRALE
ELECTRONIC SCALE 40KG/2GR,BILANCIA ELETTRONICA 40KG/2GR
GROUND TERMINAL,TERMINALE DI TERRA
KIT_PREVENTIVE MAINTENANCE_E49,KIT RIPARAZIONE
DOOR LIEBHERR KTS1710,PORTA LIEBHERR KTS1710
HOSE CONNECTOR,TUBO DI CONNESSIONE
"BODY,WITH PACKING TR300","CORPO,WITH PACKING TR300"
SUPPORT F/BASIN,SUPPORTO F/BASIN
SLEEVE ASSEMBLY,MANICOTTO COMPLETO
FIXING TAB,FISSAGGIO
BOTTLE BRUSH,SPAZZOLA PER BOTTIGLIA
"COMPRESSOR BITZER 2EC-2,2Y","COMPRESSORE BITZER 2EC-2,2Y"
HARNESS WIRING 190E-SS,CABLAGGIO
LABEL_CAUTION_ACCESS PANEL_RED,ETICHETTA
PACKAGING PROTECTION,PROTEZIONE CARTONE NINA 1
PRESSURE MONITOR,PRESSOSTATO
"ALUM,CORNER SHELV,-POLY,TIERS-475X1932MM","SC,AD ANG ALLUM,RIP,POLYETH-475X1932MM"
HARNESS_MAIN_B-3/SAP/SGP,CABLAGGIO
PCB CONTROL SYSTEM,SCHEDA ELETTRONICA CONTROL SYSTEM
EVAPORATOR TSSU48,EVAPORATORE TSSU48
SEALBAG L=385MM,GUARNIZIONE
VENTILATOR 92X92,VENTILATORE EVAPORATORE PER CG33A 92X92
"WASHER 8,4X17","RONDELLA 8,4X17"
SWITCH ASSEMBLY,INTERRUTTORE
NOZZLE G20,UGELLO G20
"ALUM,CORNER SHELV,-POLY,TIERS-373X1668MM","SC,AD ANG ALLUM,RIP,POLYETH-373X1668MM"
ADJUSTABLE HINGE,CERNIERA REGOLABILE
MAGNET PLASTIC,MAGNETE IN PLASTICA
"OPEN BASE,GN,1-SIDE,400X850X450H",VANO APERTO GN 1 LATO 400XH450
SUPPORT CLIKSON,SUPPORTO
"REPL,= 077019006037",MANOPOLA
"EL,WARM,CAB,GN,1 DOOR,1S,H2,500X850X450H","VANO CALDO ELET,,1P,H2,GN,1L,500XH450"
SCRAPER SPRING LM500,MOLLA RASCHIATORE LM500
PIREX VESSEL,CONTENITORE IN VETRO PYREX
ADAPTER_3/8 BARB_BIB_COKE,ADATTATORE
"LABEL,CAUTION,ELECTRIC SHOCK",ETICHETTA
GASKET SMALL,GUARNIZIONE SMALL
MOTOR SUPPORT K120,SUPPORTO MOTORE K120
PROTECTION PILOT,SCHERMO PILOTA
REAR COVER,PANNELLO DI COPERTURA
CORNER COVER PANEL,PANNELLO
GASKET TANK,GUARNIZIONE
LEFT CASING,COPERTURA
"BAR DIA,12X298","BARRA DIA,12X298"
WASH GROUP,GRUPPO LAVAGGIO
"EL,WARM CAB,2-DOOR,H2,GN,1S,800X800X450H",BASE ARMADIATA 1PORTA 1LATO800MM-H2-H450
HEATER_5000W/480V_BENT,RESISTENZA
AUXILIARY CONTACT NC,"CONTATTO AUSILIARIO N,C"
MIXING MOTOR,"MOTORE FRULLATORE V,24DC 16K"
SECURITY TAP,RUBINETTO DI SICUREZZA
LOCK NUT,CONTRODADO
"EL,MULTIBRAISER,2/1GN,1SIDE,800X900X700H","BRASIERA MULTIFUNZ,EL GN2/1,1 LATO,H700"
MOUTH,BOCCA 12 INOX TRITACARNE
MIDDLE STRIP,PROFILO
SPEED SELECTOR,SELETTORE
BEARING WITH SNAP-RING,CUSCINETTO CON SEEGER
RED LIGHT,LAMPADA
PIVOT ASSY T10S/T15S,GRUPPO PERNO T10S/T15S
WATER CONVEJOR,"SCIVOLO RAC,CONDENSA REMOTO"
MOTOR 26W,MOTORE 26W
HANDRAIL SUPPORT,SUPPORTO CORRIMANO
LEVER CLOSURE,CHIUSURA A LEVA PER AR
"REPL,= 0780055347",DISTANZIALE
COMPRESSOR T6220E,COMPRESSORE T6220E
KEY,CHIAVE
ADHESIVE ELECTROLUX PROFESSIONAL,"MARCHIO ADESIVO ELECTROLUX PROFESSIONAL DIM,86X26MM"
PUMP COVER_SPRAY_BPA-FREE,COPERTURA
GLASS,VETRO
COIN BOX,CASSETTA MONETA
HEATING ELEMENT 230/400V-7000W,RESISTENZA 230/400V-7000W
BASKET GUIDE RIGHT,GUIDA CESTO DESTRA GF90
"REPL,= 0780002122",PORTA CPL
COMPLETE HANDLE TR300,MANICO COMPLETO TR300
BESEN 30LTR,FRUSTA 30 LT
STEPLESS DEVICE KNOB,MANOPOLA
DOSER BOTTOM,FONDO
FAN HORIZONTAL DKJP-10X,VENTILATORE HORIZONTAL DKJP-10X
"SCREW,SHOULDER,#10-AB,HANDLE M",VITE PER MANIGLIA
CHAIN 3 METERS,CATENA 3 METRI
TAP 3/8,RUBINETTO DI CARICO 3/8
THERMOMETER_ME URN_CE,TERMOMETRO_ME URN_CE
COUPLING KIT,KIT ACCOPPIAMENTO
INLET COAMING WELDED,SUPPORTO
WIRE HARNESS_GR190,CABLAGGIO
SPACER PLATE,PIASTRA DISTANZIALE
SLIDE JOINT,GIUNTO COLLEGAMENTO SLITTA
KNOB ADAPTER,ADATTATORE PER MANOPOLA
HOLDING CARRIAGE,CARRELLO DI TENUTA
"HOOD T,AUTO,INS,ESD,0-LIME,FILTER,80R/H","LAV,CAPOTTINA,COIB,ESD,ZERO LIME 80 C/H"
WSH 3/16 FL,RONDELLA
PUSHER LEVER,LEVA DI SPINTA
ELBOW,GOMITO
"EL,BOILING PAN+AUTO,FILLING-40L-EASYLINE",PENTOLA ELETTRICA AUTORIEMPIM 40L
COVER DRIP TDO-N,COPERTURA
COMPONENT PLATE,PIASTRINA COMPONENTI
THERMOREGULATOR IC901/N-230V,TERMOREGOLATORE IC901/N-230V
PLATE WITH NIPPLE,PIASTRA
USE 7000906,USARE 7000906
SPRING H900,MOLLA H900
"HEATING ELEMENT L=17,21MT","RESISTENZA L=17,21MT"
CONTACT BREAKER,DISGIUNTORE TERMICO
"SHAFT L,=1273,5MM","ALBERO L,=1273,5MM"
SHELL ASSY ELX65,COMPLESSIVO SCOCCA ELX65
"ASSY,ELECTRODE 8103/9103/8113",ELETTRODO
SERPENTIN TUBE,CONDUTTURA
JOINT GASKET,GUARNIZIONE
BEARING MARK22 PSX12,CUSCINETTO MARK22 PSX12
PUSH HANDLE ASSEMBLY_TCCC,MANIGLIA
ADHESIVE LID,ADESIVO COPERCHIO
DRAIN HANDLE,MANIGLIA DI SCARICO
"COOLING UNIT LH44/2EC-2,2Y","UNITA' REFRIGERANTE LH44/2EC-2,2Y"
DETECTOR ASSEMBLY,SENSORE
COIN METER,GETTONIERA
STUD,PERNO
HEATING ELEMENT_12KW,RESISTENZA
SEALBAG L=550MM,GUARNIZIONE
"DISPLAY UNIT,FREEZER+5-18°C,500LT,ROTAT","VETRINA FREEZER+5-18°C,500 LT,ROTANTE"
NUT_LOCKING_PG21_BLACK,DADO
"EL,PASTA COOKER,1X40L,1-S,400X900X800H","CUOCIPASTA EL,,40 LT,1 LATO H800"
"SS PLAN,MIXER-FLOOR-FLATPANEL+HUB-20L-3P","MESC,PLAN,20L-PAVIM,-MEC-INOX-H-400/3/50"
BELT STRETCHER,GRUPPO TIRACINGHIA
SALT DETECTOR,SALT DETECTOR PER ADDOLCITORI ACQUA AUTOMATICI
HANDLE EQ TRK2,MANIGLIA EQ TRK2
ELECTRICAL GYROSKNIFE,COLTELLO ELETTRICO PER GYROS
MOTOR 115V 60HZ,MOTORE 115V 60HZ
MUFF,MANICOTTO
NON-RETURN VALVE EC0050501/2BB31,VALVOLA DI NON RITORNO
GRILL 352X432MM,GRIGLIA 352X432MM
COIL STEAM,SERPENTINA VAPORE
"GROMMET,DUMP VALVE",ANELLO PREMISTOPPA
"LENS,DISPLAY FRONT,3312",PROTEZIONE IN VETRO
EVAPORATOR L-910,EVAPORATORE L-910
NET FILTER,FILTRO
DOOR COVERING,COPERTURA PORTA
BASKET 160X290X130,CESTO 160X290X130
HANDLE TAP,LEVA RUBINETTO CIOCCOLATIERA
CLOSED BASE 200X800X550,BASE CHIUSA 200MM H550
"PAD,BASE",PANNELLO
CHAPA,SERRATURA
SPACER 6MM,DISTANZIALE 6MM
DECAL_CONTROLLER_PIC5/6,ETICHETTA
"FULL IND,WARM,H2,4ZONE,2S,1000X900X700H","INDUZ,AMPIA SUP,4 Z+VANO CALDO,2L,H700"
CONNECTING BOARD,SCHEDA CONNESSIONE
"FAN BLADE,D15,D155,D156",VENTOLA
SPRING LATCH,SCROCCO
TANK MV31/MV35,VASCA MV31/MV35
TITRATION VALVE KIT,VALVOLA
BLOCK,BLOCCO
634 BEARING,"CUSCINETTO 634 D,E,16 FORO 4"
KNOB THERMOSTAT,MANOPOLA
GASKET EXTRAN1920,GUARNIZIONE EXTRAN1920
U1 FUSE,FUSIBILE U1
BUSHING D16X12,BOCCOLA D16X12
STACKER CARD,SCHEDA
SALAMANDER SUPPORT [700&900,SUPPORTO SALAMANDRA
IGNITION PLUG,CANDELA
Y-FITTING 3X19MM,RACCORDO A Y 3X19MM
UNION NUT G1/2,DADO
EVAPORATOR THERMOSTAT,TERMOSTATO EVAP
PLASTIC SPOUT,BOCCHETTA IN PLASTICA
GEAR PUMP,POMPA INGRANAGGI
LOWER PANEL,PANNELLO INFERIORE
GASKET 210X420,GUARNIZIONE 210X420
FLAME SENSOR,SENSORE
DET PARAGUARD AF-575,PARAGUARD AF-575
"ROLLER,SUPPORT,DRUM",RULLO
"ISOLATION,400X350",ISOLANTE 400X350 MM
CARTON_BASE PACKING_CS-3L,SCATOLA
COPPER TUBE,TUBO IN RAME
THERMOPILE,TERMOPILA
"LINK CABLE CEE32-2,5M","CAVO DI COLLEGAMENTO CEE32-2,5M"
"WORK TOP,CLOSED,1S,BACKSPL,1200X800X250H",NEUTRO TOP 1200MM 1 LATO C/ALZATINA
TEMPERATURE SENSOR PT1000,SENSORE DI TEMPERATURA
BOWL D15-3,VASCHETTA D15-3
"EL,FRYTOP,RIBBED PL,1S,BSPL,400X900X800","FRYTOP EL,PIASTRA RIG,,1 LATO,ALZ,H800"
FILTER ASS,FILTRO
HINGE LEFT,CERNIERA SX
"UNPACKING INSTRUC,SHEET",FOGLIO ISTRUZIONI DISIMBALLO
PLANETARY ASSY MC40,GRUPPO PLANETARIO MC40
CUTLERY CONTAINER,CONTENITORE POSATE
DRAINAGE PIP,CONDOTTO DI SCARICO
SCREW M4X10,VITE M4X10
GLASS BEADING,FERMAVETRO PORTA
HEAT PIPE SHIELD,CONDUTTURA
GLAND,PREMISTOPPA
DECAL_CAUTION_DISCONNECT POWER,ETICHETTA
"REPL,= 077000740101",INNESTO CHIUSURA
PCB CONFIGURATED,SCHEDA ELETTRONICA
WIRE 10MM,CABLAGGIO
CONTROL BOX FASTENED,SCATOLA DI CONTROLLO
DOSER RING MX,ANELLO OR
"PLAN,MIXER-FLOOR-MECH+HUB-20L S/S-3P","MESC,PLAN,20L-PAVIM,-MEC-INOX-H-400/3/50"
GATE,RASTRELLIERA
MOISTURE SENSOR,SENSORE
PIPING,CONDUTTURA
TUBE JOINT,GIUNTO TUBO
T-SUPPORT,SUPPORTO
BREWING ELEMENT,RESISTENZA
CONTROL SHAFT,ALBERO COMANDO
CONNECTION HOSE,ATTACCO HOSE
EDS SOLENOID VALVE,ELETTROVALVOLA
"REPL,= 0780058667",MOTORE
DOOR INNER/OUTER,PORTA
UNLOADING GUIDE WELDING,GUIDA
LABEL CAUTION 1-800,ETICHETTA
"KNIFE DIA,82","COLTELLO DIA,82"
PIEZOELECTRIC IGNITER,ACCENDITORE PIEZO
"LID GASKET,MV26/31/35/45/45L LG,2M","GUARNIZIONE COPERCHIO,MV26/31/35/45/45L"
CHAIN ADJUSTER,DOPPIO PIGNONE ASSY
"REPL,= 077018025400",SONDA DI TEMPERATURA
ESD BOX,SCATOLA
PIPE SOCKET,FLANGIA CONDUTTURA
INDUCTANCE,INDUTTANZA
SAFETY THERMOSTAT 160°,TERMOSTATO DI SICUREZZA 160°
FRAME L=1527,CORNICE L=1527
DOOR ASSY,PORTA ASSY
"FULL IND,OPEN,H2,4ZONE,1S,1000X900X700H","INDUZ,AMPIA SUP,4 ZONE+VANO APER,1L,H700"
NUT,DADO
ANGULAR COUPLING,RACCORDO A GOMITO
MOTOR 250W,"MOTORE ASPIR,CON REG,DI VELOCITA' 250W"
NOZZLE HOLDER,PORTAUGELLO
MANIFOLD PLUG,TAPPO COLLETTORE
"LENS,FRONT DISPLAY",PROTEZIONE IN VETRO
SCREW GE65,VITE DOPPIO FILETTO GE65
"INFRARED TOP,2 ZONES,1-SIDE,500X900X250H",PIANO INFRAROSSO 2 ZONE 1 LATO H250
"REPL,= 0780051697",MANOPOLA
THERMOSTAT JOINT,GIUNTO
"REPL,= 077476066400",MAGNETSCHALTER D 1800
SMART CARD,SCHEDA
"WORK TOP,CLOSED,1S,BACKSPL,1000X800X250H",NEUTRO TOP 1000MM 1 LATO C/ALZATINA
CATCH MAGNETIC,NASELLO
AXIS MANETTE T5,ASSE MANETTE T5
"EL,BAINMARIE,2/1GN,TAP(B),1S,800X800X250","BAGNOMARIA EL,TOP2/1+RUBIN 1LATO"
SEALIN BLADE,PIATTINA SALDANTE
GASKET BLACK,GUARNIZIONE BLACK
DRAIN BIN,CONTENITORE
TERMINAL BLOCK_5/6 TAB,MORSETTO ELETTRICO
TANK CONNECTION,INNESTO FRESH JUICE/ DELIX 1 USCITA
RELAY 6-9A,RELE' TERMICO 6-9A
ELECTRODES THREADS,CAVO PER ELETTRODI
"LOCKER S/S,SINGLE,VENTED","ARMADIO SPOGLIATOIO INOX,1 POSTO,AERATO"
INDUCTION GENERATOR FAULTY,GENERATORE DI INDUZIONE FAULTY
H-1 MEMBRANE(NO LOGO,MEMBRANA ADESIVA
CURTAIN AXIS,ASSE TENDINA
WAISTBAND,CINTURA ELASTICIZZATA BLU
"ALUM,CORNER SHELV,-POLY,TIERS-475X834MM","SC,AD ANG ALLUM,RIP,POLYETH-475X834MM"
ELBOW HOSE,TUBO A GOMITO
GASKET 1PC=1000MM,GUARNIZIONE 1PZ=1000MM
"EL,SOLID TOP,ST,OV,PASS,2S,1000X900X700H","TUTTAPIASTRA EL,+FORNO ST,PASS,,2LATI"
DOOR COVER,COPERTURA PORTA
BELT 920,CINGHIA 920
PADDLE NGQ90,AGITATORE
RINSE PUMP ELBOW,GOMITO
AGITATOR ASSY TR260,GRUPPO AGITATORE TR260
LIGHT SIGNAL SUPPORT,SUPPORTO
30' TIMER,TIMER
HANDLE PROTECTION,PROTEZIONE
"S/S CUTT-MIX-FLAT-17,5L-SMOOTH-VAR,SP,3P","CUTTER-MIX INOX 17,5L-3LISCE-VAR-400/3"
THERMOSTAT TUBE,TUBETTO
BREADING BASIN SUPPORT,SUPPORTO BACINELLA BREADING
SPLASH PROTECTION,PARASPRUZZI
DOSER BODY,DOSATORE
GASKET 690X1331MM,GUARNIZIONE 690X1331MM
INSTANTANEOUS CONTACT,CONTATTORE
RELAY 120V,RELE' 120V
START RELAY,RELE
RUBBER FOOT,PIEDINO IN GOMMA
DOSING ADJUSTMENT KNOB,MANOPOLA
TRAYSHELF,SCORRIVASSOIO
"1-DOOR REFRIG,720LT,0/+10°,PROSTORE-R290",FRIGO PROSTORE 720L 1 PORTA 0+10°(R290
BEND D=50,CURVA
REAR ADHESIVE CREMOSITO,ADESIVO POSTERIORE CREMOSITO
PCB CPL,"SCHEDA ELETTRONICA,PANN,MV48/50/65+TE MP"
VALVE DOUBLE,DOPPIA VALVOLA
VALVE FLOW REGULATOR,REGOLATORE PORTATA
COMPRESSOR EMT2121U,COMPRESSORE EMT2121U
BULK HEAD,TESTA SFUSA
"REPL,= 0700280163",QUERSTROML FTER
DISPENSE PLATE ASSEMBLY,PANNELLO DI COPERTURA
GASKET 402X225 MM,GUARNIZIONE 402X225 MM
GEARMOTOR KIT,MOTORIDUTTORE KIT
"OPEN BASE,H2,1-SIDE,1000X900X450H",VANO APERTO H2 1 LATO 1000XH450
PRESSURE GAUGE,MANOMETRO
AUGER SWITCH,"INTERRUTTORE 2 UNIP,N/L NR/NR"
SHELF ASSY,RIPIANO ASSY
ROLL SPRING,ARROTOLARE LA PRIMAVERA
RADIANT PLATE 1M,TEGOLO RADIANTE GRIGLIA 1M
"ALUM,SHELV,,POLY,TIERS-COLDROOM 203X243","SC IN ALLUM RIP,POLYETH,CELLE 203X243"
"VEG,PEELER-REMOV,COMP+ABR,PL+FILTER-5KG","PELAPAT,5KG-VASCA RIMOV+DISCO ABR+FILTRO"
PARTITION,PARTIZIONE
INDUCTION GENERATOR,GENERATORE DI INDUZIONE
LABEL_WIRING DIAGRAM_GB1/2/3/4,ETICHETTA
TORX-SCREW,VITE
INLET BASEMENT WELDING,BASAMENTO
HINGE PROTECTION,PROTEZIONE CERNIERA IN GOMMA
THREADED PIVOT H=24MM,PERNO
"EL,PASTA COOK,2X5L,1-S,BSPL,400X900X800H","CUOCIPASTA EL,,5+5LT,1 LATO,ALZ H800"
PAN SUPPORT,GRIGLIA SUPPORTO PENTOLE
